title,Token,tag,stopwordByTag,stemmed,lemma,label
langsung jatuh cinta pada kosumon moeldoko saya jagonya ngopi ini very special,"['langsung', 'jatuh', 'cinta', 'pada', 'kosumon', 'moeldoko', 'saya', 'jagonya', 'ngopi', 'ini', 'very', 'special']","[('langsung', 'RB'), ('jatuh', 'VB'), ('cinta', 'VB'), ('pada', 'IN'), ('kosumon', 'NN'), ('moeldoko', 'NN'), ('saya', 'PRP'), ('jagonya', 'RB'), ('ngopi', 'NN'), ('ini', 'PR'), ('very', 'FW'), ('special', 'FW')]",langsung jatuh cinta  kosumon moeldoko  jagonya ngopi  very special,langsung jatuh cinta kosumon moeldoko jago ngopi very special,langsung jatuh cinta kosumon moeldoko jagonya ngopi very special,1
gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,"['gandeng', 'pemerintah', 'daerah', 'tokopedia', 'dorong', 'implementasi', 'digitalisasi', 'pasar', 'rakyat']","[('gandeng', 'NN'), ('pemerintah', 'NN'), ('daerah', 'NN'), ('tokopedia', 'NN'), ('dorong', 'VB'), ('implementasi', 'NN'), ('digitalisasi', 'NN'), ('pasar', 'NN'), ('rakyat', 'NN')]",gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,gandeng perintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,1
viral petarung ufc sampaikan hal menyedihkan usai menang tarung temannya bunuh diri jelang tanding,"['viral', 'petarung', 'ufc', 'sampaikan', 'hal', 'menyedihkan', 'usai', 'menang', 'tarung', 'temannya', 'bunuh', 'diri', 'jelang', 'tanding']","[('viral', 'JJ'), ('petarung', 'VB'), ('ufc', 'NN'), ('sampaikan', 'VB'), ('hal', 'NN'), ('menyedihkan', 'VB'), ('usai', 'SC'), ('menang', 'VB'), ('tarung', 'NN'), ('temannya', 'RB'), ('bunuh', 'VB'), ('diri', 'NN'), ('jelang', 'NN'), ('tanding', 'FW')]",viral petarung ufc  hal menyedihkan  menang tarung temannya bunuh diri jelang tanding,viral tarung ufc hal sedih menang tarung teman bunuh diri jelang tanding,viral petarung ufc hal menyedihkan menang tarung temannya bunuh diri jelang tanding,2
viral seorang pria tergeletak di jalanan yogyakarta polda diy cek kemungkinan korban jiwa ke rs,"['viral', 'seorang', 'pria', 'tergeletak', 'di', 'jalanan', 'yogyakarta', 'polda', 'diy', 'cek', 'kemungkinan', 'korban', 'jiwa', 'ke', 'rs']","[('viral', 'NN'), ('seorang', 'NND'), ('pria', 'NN'), ('tergeletak', 'NN'), ('di', 'IN'), ('jalanan', 'NN'), ('yogyakarta', 'NN'), ('polda', 'VB'), ('diy', 'FW'), ('cek', 'NN'), ('kemungkinan', 'NN'), ('korban', 'NN'), ('jiwa', 'NN'), ('ke', 'IN'), ('rs', 'NNP')]",viral seorang pria tergeletak  jalanan yogyakarta polda diy cek  korban jiwa  rs,viral orang pria geletak jalan yogyakarta polda diy cek korban jiwa rs,viral seorang pria tergeletak jalanan yogyakarta polda diy cek korban jiwa r,2
ade yasin optimis eksepsi diterima hakim dakwaan tak sesuai dengan alasan kpk melakukan penangkapan,"['ade', 'yasin', 'optimis', 'eksepsi', 'diterima', 'hakim', 'dakwaan', 'tak', 'sesuai', 'dengan', 'alasan', 'kpk', 'melakukan', 'penangkapan']","[('ade', 'NN'), ('yasin', 'NN'), ('optimis', 'NN'), ('eksepsi', 'NN'), ('diterima', 'VB'), ('hakim', 'NN'), ('dakwaan', 'NN'), ('tak', 'NEG'), ('sesuai', 'JJ'), ('dengan', 'IN'), ('alasan', 'NN'), ('kpk', 'NN'), ('melakukan', 'VB'), ('penangkapan', 'NN')]",ade yasin optimis eksepsi diterima hakim dakwaan  sesuai  alasan kpk  penangkapan,ade yasin optimis eksepsi terima hakim dakwa sesuai alas kpk tangkap,ade yasin optimis eksepsi diterima hakim dakwaan sesuai alasan kpk penangkapan,0
empat pelaku spesialis pencurian mobil pick up diringkus polresta bandung,"['empat', 'pelaku', 'spesialis', 'pencurian', 'mobil', 'pick', 'up', 'diringkus', 'polresta', 'bandung']","[('empat', 'CD'), ('pelaku', 'NN'), ('spesialis', 'NN'), ('pencurian', 'NN'), ('mobil', 'NN'), ('pick', 'FW'), ('up', 'FW'), ('diringkus', 'NN'), ('polresta', 'JJ'), ('bandung', 'VB')]", pelaku spesialis pencurian mobil pick up diringkus polresta ,laku spesialis curi mobil pick up ringkus polresta,pelaku spesialis pencurian mobil pick up diringkus polresta,2
waspada siang dan malam hari jabar diguyur hujan prakiraan cuaca wilayah jawa barat senin 25 juli 2022,"['waspada', 'siang', 'dan', 'malam', 'hari', 'jabar', 'diguyur', 'hujan', 'prakiraan', 'cuaca', 'wilayah', 'jawa', 'barat', 'senin', '25', 'juli', '2022']","[('waspada', 'IN'), ('siang', 'NN'), ('dan', 'CC'), ('malam', 'NN'), ('hari', 'NN'), ('jabar', 'NN'), ('diguyur', 'NN'), ('hujan', 'NN'), ('prakiraan', 'NN'), ('cuaca', 'NN'), ('wilayah', 'NN'), ('jawa', 'VB'), ('barat', 'NN'), ('senin', 'NN'), ('25', 'CD'), ('juli', 'VB'), ('2022', 'CD')]",waspada siang  malam hari jabar diguyur hujan prakiraan cuaca wilayah jawa barat senin 25 juli 2022,waspada siang malam hari jabar guyur hujan prakira cuaca wilayah jawa barat senin 25 juli 2022,waspada siang malam hari jabar diguyur hujan prakiraan cuaca wilayah jawa barat senin 25 juli 2022,2
buka latsar cpns sekda jabar tekankan integritas,"['buka', 'latsar', 'cpns', 'sekda', 'jabar', 'tekankan', 'integritas']","[('buka', 'VB'), ('latsar', 'NN'), ('cpns', 'NN'), ('sekda', 'VB'), ('jabar', 'NN'), ('tekankan', 'VB'), ('integritas', 'NN')]",buka latsar cpns sekda jabar tekankan integritas,buka latsar cpns sekda jabar tekan integritas,buka latsar cpns sekda jabar tekankan integritas,0
panglima tni utus dokter forensik tni lakukan autopsi brigadir j kalau mau tambah juga boleh,"['panglima', 'tni', 'utus', 'dokter', 'forensik', 'tni', 'lakukan', 'autopsi', 'brigadir', 'j', 'kalau', 'mau', 'tambah', 'juga', 'boleh']","[('panglima', 'NN'), ('tni', 'PR'), ('utus', 'VB'), ('dokter', 'NN'), ('forensik', 'NN'), ('tni', 'PR'), ('lakukan', 'VB'), ('autopsi', 'NN'), ('brigadir', 'NN'), ('j', 'NN'), ('kalau', 'SC'), ('mau', 'RB'), ('tambah', 'VB'), ('juga', 'RB'), ('boleh', 'MD')]",panglima tni utus dokter forensik tni lakukan autopsi brigadir j  mau  juga ,panglima tni utus dokter forensik tni laku autopsi brigadir j mau juga,panglima tni utu dokter forensik tni lakukan autopsi brigadir j mau juga,0
pad retribusi parkir minim ini yang akan dilakukan bapenda kbb,"['pad', 'retribusi', 'parkir', 'minim', 'ini', 'yang', 'akan', 'dilakukan', 'bapenda', 'kbb']","[('pad', 'NN'), ('retribusi', 'NN'), ('parkir', 'NN'), ('minim', 'NN'), ('ini', 'PR'), ('yang', 'SC'), ('akan', 'MD'), ('dilakukan', 'VB'), ('bapenda', 'NN'), ('kbb', 'JJ')]",pad retribusi parkir minim     bapenda kbb,pad retribusi parkir minim bapenda kbb,pad retribusi parkir minim bapenda kbb,0
pesan menohok ridwan kamil ke baim wong soal citayam fashion week anda dan istri sudah hebat tapi,"['pesan', 'menohok', 'ridwan', 'kamil', 'ke', 'baim', 'wong', 'soal', 'citayam', 'fashion', 'week', 'anda', 'dan', 'istri', 'sudah', 'hebat', 'tapi']","[('pesan', 'NN'), ('menohok', 'NN'), ('ridwan', 'NN'), ('kamil', 'JJ'), ('ke', 'IN'), ('baim', 'NN'), ('wong', 'VB'), ('soal', 'NN'), ('citayam', 'NN'), ('fashion', 'NN'), ('week', 'NN'), ('anda', 'PRP'), ('dan', 'CC'), ('istri', 'NN'), ('sudah', 'MD'), ('hebat', 'VB'), ('tapi', 'CC')]",pesan menohok ridwan kamil  baim  soal citayam fashion week   istri  hebat ,pesan tohok ridwan kamil baim soal citayam fashion week istri hebat,pesan menohok ridwan kamil baim soal citayam fashion week istri hebat,2
berusaha pulihkan cedera febri hariyadi disemangati mario jardel semangat bang bow,"['berusaha', 'pulihkan', 'cedera', 'febri', 'hariyadi', 'disemangati', 'mario', 'jardel', 'semangat', 'bang', 'bow']","[('berusaha', 'VB'), ('pulihkan', 'VB'), ('cedera', 'JJ'), ('febri', 'NN'), ('hariyadi', 'VB'), ('disemangati', 'VB'), ('mario', 'NN'), ('jardel', 'NN'), ('semangat', 'NN'), ('bang', 'NN'), ('bow', 'FW')]",berusaha pulihkan cedera febri hariyadi disemangati mario jardel semangat bang bow,usaha pulih cedera febri hariyadi semangat mario jardel semangat bang bow,berusaha pulihkan cedera febri hariyadi disemangati mario jardel semangat bang bow,1
pemilik tim football menangkan lelang sabuk juara tinju muhammad ali ini harganya,"['pemilik', 'tim', 'football', 'menangkan', 'lelang', 'sabuk', 'juara', 'tinju', 'muhammad', 'ali', 'ini', 'harganya']","[('pemilik', 'NN'), ('tim', 'NN'), ('football', 'NN'), ('menangkan', 'VB'), ('lelang', 'NN'), ('sabuk', 'NN'), ('juara', 'NN'), ('tinju', 'NN'), ('muhammad', 'NN'), ('ali', 'NN'), ('ini', 'PR'), ('harganya', 'RB')]",pemilik tim football menangkan lelang sabuk juara tinju muhammad ali  harganya,milik tim football menang lelang sabuk juara tinju muhammad ali harga,pemilik tim football menangkan lelang sabuk juara tinju muhammad ali harganya,1
tersangka kasus subang bertambah jadi 11 orang perannya diungkap polda jabar,"['tersangka', 'kasus', 'subang', 'bertambah', 'jadi', '11', 'orang', 'perannya', 'diungkap', 'polda', 'jabar']","[('tersangka', 'NN'), ('kasus', 'NN'), ('subang', 'NN'), ('bertambah', 'VB'), ('jadi', 'VB'), ('11', 'CD'), ('orang', 'NN'), ('perannya', 'RB'), ('diungkap', 'VB'), ('polda', 'NN'), ('jabar', 'JJ')]",tersangka kasus  bertambah  11 orang perannya diungkap polda jabar,sangka kasus tambah 11 orang peran ungkap polda jabar,tersangka kasus bertambah 11 orang perannya diungkap polda jabar,2
kasus anak tewas akibat perundungan di tasikmalaya 3 orang jadi tersangka,"['kasus', 'anak', 'tewas', 'akibat', 'perundungan', 'di', 'tasikmalaya', '3', 'orang', 'jadi', 'tersangka']","[('kasus', 'NN'), ('anak', 'NN'), ('tewas', 'VB'), ('akibat', 'NN'), ('perundungan', 'NN'), ('di', 'IN'), ('tasikmalaya', 'NN'), ('3', 'CD'), ('orang', 'NN'), ('jadi', 'VB'), ('tersangka', 'NN')]",kasus anak tewas akibat perundungan  tasikmalaya 3 orang  tersangka,kasus anak tewas akibat rundung tasikmalaya 3 orang sangka,kasus anak tewas akibat perundungan tasikmalaya 3 orang tersangka,2
cinta setelah cinta 25 juli 2022 tayang di sctv pukul 1930 simak sinopsis berikut link streaming,"['cinta', 'setelah', 'cinta', '25', 'juli', '2022', 'tayang', 'di', 'sctv', 'pukul', '1930', 'simak', 'sinopsis', 'berikut', 'link', 'streaming']","[('cinta', 'VB'), ('setelah', 'SC'), ('cinta', 'VB'), ('25', 'CD'), ('juli', 'VB'), ('2022', 'CD'), ('tayang', 'NN'), ('di', 'IN'), ('sctv', 'NN'), ('pukul', 'NN'), ('1930', 'CD'), ('simak', 'NN'), ('sinopsis', 'NN'), ('berikut', 'FW'), ('link', 'FW'), ('streaming', 'FW')]",cinta  cinta 25 juli 2022 tayang  sctv pukul 1930 simak sinopsis  link streaming,cinta cinta 25 juli 2022 tayang sctv pukul 1930 simak sinopsis link streaming,cinta cinta 25 juli 2022 tayang sctv pukul 1930 simak sinopsis link streaming,0
ada 16000 kasus cacar monyet di 75 negara who minta kawasan asia tenggara perkuat pengawasan,"['ada', '16000', 'kasus', 'cacar', 'monyet', 'di', '75', 'negara', 'who', 'minta', 'kawasan', 'asia', 'tenggara', 'perkuat', 'pengawasan']","[('ada', 'VB'), ('16000', 'CD'), ('kasus', 'NN'), ('cacar', 'JJ'), ('monyet', 'NN'), ('di', 'IN'), ('75', 'CD'), ('negara', 'NN'), ('who', 'NN'), ('minta', 'VB'), ('kawasan', 'NN'), ('asia', 'NN'), ('tenggara', 'NN'), ('perkuat', 'VB'), ('pengawasan', 'NN')]", 16000 kasus cacar monyet  75 negara who  kawasan asia tenggara perkuat pengawasan,16000 kasus cacar monyet 75 negara who kawasan asia tenggara kuat awas,16000 kasus cacar monyet 75 negara who kawasan asia tenggara perkuat pengawasan,2
inilah yang harus hindari warga binaan lapas sumedang,"['inilah', 'yang', 'harus', 'hindari', 'warga', 'binaan', 'lapas', 'sumedang']","[('inilah', 'NN'), ('yang', 'SC'), ('harus', 'MD'), ('hindari', 'VB'), ('warga', 'NN'), ('binaan', 'NN'), ('lapas', 'VB'), ('sumedang', 'NN')]",   hindari warga binaan lapas sumedang,hindar warga bina lapas sumedang,hindari warga binaan lapas sumedang,2
cfw didaftarkan paten ini komentar sandiaga uno anak-anak scbd jangan ada yang terzalimi harus transparan,"['cfw', 'didaftarkan', 'paten', 'ini', 'komentar', 'sandiaga', 'uno', 'anak', '-', 'anak', 'scbd', 'jangan', 'ada', 'yang', 'terzalimi', 'harus', 'transparan']","[('cfw', 'MD'), ('didaftarkan', 'VB'), ('paten', 'NN'), ('ini', 'PR'), ('komentar', 'IN'), ('sandiaga', 'NN'), ('uno', 'NN'), ('anak', 'NN'), ('-', 'Z'), ('anak', 'NN'), ('scbd', 'NN'), ('jangan', 'NN'), ('ada', 'VB'), ('yang', 'SC'), ('terzalimi', 'NN'), ('harus', 'MD'), ('transparan', 'JJ')]",cfw didaftarkan paten  komentar sandiaga uno anak - anak scbd    terzalimi  transparan,cfw daftar paten komentar sandiaga uno anak - anak scbd zalim transparan,cfw didaftarkan paten komentar sandiaga uno anak - anak scbd terzalimi transparan,1
ceu popong dan salim segaf dorong kolaborasi untuk selesaikan masalah kebangsaan,"['ceu', 'popong', 'dan', 'salim', 'segaf', 'dorong', 'kolaborasi', 'untuk', 'selesaikan', 'masalah', 'kebangsaan']","[('ceu', 'NN'), ('popong', 'VB'), ('dan', 'CC'), ('salim', 'NN'), ('segaf', 'NN'), ('dorong', 'VB'), ('kolaborasi', 'NN'), ('untuk', 'SC'), ('selesaikan', 'VB'), ('masalah', 'NN'), ('kebangsaan', 'NN')]",ceu popong  salim segaf dorong kolaborasi  selesaikan masalah kebangsaan,ceu popong salim segaf dorong kolaborasi selesai masalah bangsa,ceu popong salim segaf dorong kolaborasi selesaikan masalah kebangsaan,1
link streaming cinta setelah cinta 25 juli 2022 starla pergoki niko dan ayu rencana ben bakal lancar,"['link', 'streaming', 'cinta', 'setelah', 'cinta', '25', 'juli', '2022', 'starla', 'pergoki', 'niko', 'dan', 'ayu', 'rencana', 'ben', 'bakal', 'lancar']","[('link', 'NN'), ('streaming', 'NN'), ('cinta', 'VB'), ('setelah', 'SC'), ('cinta', 'VB'), ('25', 'CD'), ('juli', 'VB'), ('2022', 'CD'), ('starla', 'NN'), ('pergoki', 'VB'), ('niko', 'NN'), ('dan', 'CC'), ('ayu', 'NN'), ('rencana', 'NN'), ('ben', 'NN'), ('bakal', 'JJ'), ('lancar', 'JJ')]",link streaming cinta  cinta 25 juli 2022 starla pergoki niko  ayu rencana ben  lancar,link streaming cinta cinta 25 juli 2022 starla pergok niko ayu rencana ben lancar,link streaming cinta cinta 25 juli 2022 starla pergoki niko ayu rencana ben lancar,0
waspada sejumlah kota besar diguyur hujan prakirakan cuaca hari ini selasa 26 juli 2022,"['waspada', 'sejumlah', 'kota', 'besar', 'diguyur', 'hujan', 'prakirakan', 'cuaca', 'hari', 'ini', 'selasa', '26', 'juli', '2022']","[('waspada', 'IN'), ('sejumlah', 'CD'), ('kota', 'NN'), ('besar', 'JJ'), ('diguyur', 'NN'), ('hujan', 'NN'), ('prakirakan', 'VB'), ('cuaca', 'NN'), ('hari', 'NN'), ('ini', 'PR'), ('selasa', 'VB'), ('26', 'CD'), ('juli', 'VB'), ('2022', 'CD')]",waspada  kota  diguyur hujan prakirakan cuaca hari  selasa 26 juli 2022,waspada kota guyur hujan prakira cuaca hari selasa 26 juli 2022,waspada kota diguyur hujan prakirakan cuaca hari selasa 26 juli 2022,0
populasi 'yaki' di sulteng turun drastis tinggal menyisakan 1000 ekor,"['populasi', ""'"", 'yaki', ""'"", 'di', 'sulteng', 'turun', 'drastis', 'tinggal', 'menyisakan', '1000', 'ekor']","[('populasi', 'NN'), (""'"", 'Z'), ('yaki', 'NN'), (""'"", 'Z'), ('di', 'IN'), ('sulteng', 'NN'), ('turun', 'VB'), ('drastis', 'JJ'), ('tinggal', 'VB'), ('menyisakan', 'VB'), ('1000', 'CD'), ('ekor', 'NND')]",populasi ' yaki '  sulteng turun drastis tinggal menyisakan 1000 ekor,populasi  yaki  sulteng turun drastis tinggal sisa 1000 ekor,populasi ' yaki ' sulteng turun drastis tinggal menyisakan 1000 ekor,2
psis semarang rekrut pelatih kiper asal inggris rory grand,"['psis', 'semarang', 'rekrut', 'pelatih', 'kiper', 'asal', 'inggris', 'rory', 'grand']","[('psis', 'NN'), ('semarang', 'NN'), ('rekrut', 'FW'), ('pelatih', 'FW'), ('kiper', 'FW'), ('asal', 'FW'), ('inggris', 'FW'), ('rory', 'FW'), ('grand', 'FW')]",psis semarang rekrut pelatih kiper  inggris rory grand,psis semarang rekrut latih kiper inggris rory grand,psi semarang rekrut pelatih kiper inggris rory grand,1
covid-19 di kbb sempat menembus 101 kasus warga mulai bergairah vaksin booster,"['covid', '-', '19', 'di', 'kbb', 'sempat', 'menembus', '101', 'kasus', 'warga', 'mulai', 'bergairah', 'vaksin', 'booster']","[('covid', 'NN'), ('-', 'Z'), ('19', 'CD'), ('di', 'IN'), ('kbb', 'NN'), ('sempat', 'MD'), ('menembus', 'VB'), ('101', 'CD'), ('kasus', 'NN'), ('warga', 'NN'), ('mulai', 'VB'), ('bergairah', 'NN'), ('vaksin', 'NN'), ('booster', 'NN')]",covid - 19  kbb  menembus 101 kasus warga  bergairah vaksin booster,covid - 19 kbb tembus 101 kasus warga gairah vaksin booster,covid - 19 kbb menembus 101 kasus warga bergairah vaksin booster,0
bareskrim polri tetapkan 4 tersangka kasus act,"['bareskrim', 'polri', 'tetapkan', '4', 'tersangka', 'kasus', 'act']","[('bareskrim', 'VB'), ('polri', 'NN'), ('tetapkan', 'VB'), ('4', 'CD'), ('tersangka', 'NN'), ('kasus', 'NN'), ('act', 'FW')]",bareskrim polri tetapkan 4 tersangka kasus act,bareskrim polri tetap 4 sangka kasus act,bareskrim polri tetapkan 4 tersangka kasus act,2
cinta setelah cinta 26 juli 2022 niko ngamuk kepada ayu arya dan ben berebut perhatian starla,"['cinta', 'setelah', 'cinta', '26', 'juli', '2022', 'niko', 'ngamuk', 'kepada', 'ayu', 'arya', 'dan', 'ben', 'berebut', 'perhatian', 'starla']","[('cinta', 'VB'), ('setelah', 'SC'), ('cinta', 'VB'), ('26', 'CD'), ('juli', 'VB'), ('2022', 'CD'), ('niko', 'NN'), ('ngamuk', 'NN'), ('kepada', 'IN'), ('ayu', 'NN'), ('arya', 'NN'), ('dan', 'CC'), ('ben', 'NN'), ('berebut', 'VB'), ('perhatian', 'NN'), ('starla', 'NN')]",cinta  cinta 26 juli 2022 niko ngamuk  ayu arya  ben berebut perhatian starla,cinta cinta 26 juli 2022 niko ngamuk ayu arya ben rebut perhati starla,cinta cinta 26 juli 2022 niko ngamuk ayu arya ben berebut perhatian starla,0
prakiraan cuaca di kota-kota besar di indonesia bandung hujan ringan,"['prakiraan', 'cuaca', 'di', 'kota', '-', 'kota', 'besar', 'di', 'indonesia', 'bandung', 'hujan', 'ringan']","[('prakiraan', 'NN'), ('cuaca', 'NN'), ('di', 'IN'), ('kota', 'NN'), ('-', 'Z'), ('kota', 'NN'), ('besar', 'JJ'), ('di', 'IN'), ('indonesia', 'NNP'), ('bandung', 'VB'), ('hujan', 'NN'), ('ringan', 'JJ')]",prakiraan cuaca  kota - kota   indonesia  hujan ringan,prakira cuaca kota - kota indonesia hujan ringan,prakiraan cuaca kota - kota indonesia hujan ringan,0
persis solo menyerah 2-3 dari dewa united di liga 1,"['persis', 'solo', 'menyerah', '2', '-', '3', 'dari', 'dewa', 'united', 'di', 'liga', '1']","[('persis', 'NN'), ('solo', 'NN'), ('menyerah', 'NN'), ('2', 'CD'), ('-', 'Z'), ('3', 'CD'), ('dari', 'IN'), ('dewa', 'NN'), ('united', 'FW'), ('di', 'IN'), ('liga', 'CD'), ('1', 'CD')]",persis solo menyerah 2 - 3  dewa united  liga 1,persis solo serah 2 - 3 dewa united liga 1,persis solo menyerah 2 - 3 dewa united liga 1,2
ucapkan good bye pada pertalite dan solar bagi pemilik mobil dengan kapasitas 2000 cc ke atas,"['ucapkan', 'good', 'bye', 'pada', 'pertalite', 'dan', 'solar', 'bagi', 'pemilik', 'mobil', 'dengan', 'kapasitas', '2000', 'cc', 'ke', 'atas']","[('ucapkan', 'VB'), ('good', 'FW'), ('bye', 'FW'), ('pada', 'IN'), ('pertalite', 'NN'), ('dan', 'CC'), ('solar', 'NN'), ('bagi', 'IN'), ('pemilik', 'NN'), ('mobil', 'NN'), ('dengan', 'IN'), ('kapasitas', 'NN'), ('2000', 'CD'), ('cc', 'FW'), ('ke', 'FW'), ('atas', 'IN')]",ucapkan good bye  pertalite  solar  pemilik mobil  kapasitas 2000 cc  ,ucap good bye pertalite solar milik mobil kapasitas 2000 cc,ucapkan good bye pertalite solar pemilik mobil kapasitas 2000 cc,2
bantu renovasi rumah warga yang hampir roboh ridwan kamil tugas pemimpin memudahkan urusan rakyat,"['bantu', 'renovasi', 'rumah', 'warga', 'yang', 'hampir', 'roboh', 'ridwan', 'kamil', 'tugas', 'pemimpin', 'memudahkan', 'urusan', 'rakyat']","[('bantu', 'VB'), ('renovasi', 'NN'), ('rumah', 'NN'), ('warga', 'NN'), ('yang', 'SC'), ('hampir', 'RB'), ('roboh', 'VB'), ('ridwan', 'NN'), ('kamil', 'NN'), ('tugas', 'NN'), ('pemimpin', 'NN'), ('memudahkan', 'VB'), ('urusan', 'NN'), ('rakyat', 'NN')]",bantu renovasi rumah warga  hampir roboh ridwan kamil tugas pemimpin memudahkan urusan rakyat,bantu renovasi rumah warga hampir roboh ridwan kamil tugas pimpin mudah urus rakyat,bantu renovasi rumah warga hampir roboh ridwan kamil tugas pemimpin memudahkan urusan rakyat,1
persita siap ladeni persik kediri vera butuh start yang bagus,"['persita', 'siap', 'ladeni', 'persik', 'kediri', 'vera', 'butuh', 'start', 'yang', 'bagus']","[('persita', 'PRP'), ('siap', 'VB'), ('ladeni', 'NN'), ('persik', 'NN'), ('kediri', 'NN'), ('vera', 'RB'), ('butuh', 'VB'), ('start', 'NN'), ('yang', 'SC'), ('bagus', 'JJ')]",persita  ladeni persik kediri vera butuh start  bagus,sita laden persik diri vera butuh start bagus,persita ladeni persik kediri vera butuh start bagus,1
identitas 11 tersangka kasus subang diungkap polisi ada yang berperan sebagai pemodal,"['identitas', '11', 'tersangka', 'kasus', 'subang', 'diungkap', 'polisi', 'ada', 'yang', 'berperan', 'sebagai', 'pemodal']","[('identitas', 'NN'), ('11', 'CD'), ('tersangka', 'NN'), ('kasus', 'NN'), ('subang', 'NN'), ('diungkap', 'VB'), ('polisi', 'NN'), ('ada', 'VB'), ('yang', 'SC'), ('berperan', 'VB'), ('sebagai', 'IN'), ('pemodal', 'NN')]",identitas 11 tersangka kasus  diungkap polisi   berperan  pemodal,identitas 11 sangka kasus ungkap polisi peran modal,identitas 11 tersangka kasus diungkap polisi berperan pemodal,2
kita punya seribu alasan untuk bahagia dengan melepas beban emosi,"['kita', 'punya', 'seribu', 'alasan', 'untuk', 'bahagia', 'dengan', 'melepas', 'beban', 'emosi']","[('kita', 'PRP'), ('punya', 'VB'), ('seribu', 'CD'), ('alasan', 'NN'), ('untuk', 'SC'), ('bahagia', 'VB'), ('dengan', 'SC'), ('melepas', 'VB'), ('beban', 'NN'), ('emosi', 'NN')]",  seribu alasan  bahagia  melepas beban emosi,ribu alas bahagia lepas beban emosi,seribu alasan bahagia melepas beban emosi,1
tol cipali kembali memakan korban jiwa 2 tewas akibat tabrakan,"['tol', 'cipali', 'kembali', 'memakan', 'korban', 'jiwa', '2', 'tewas', 'akibat', 'tabrakan']","[('tol', 'NN'), ('cipali', 'RB'), ('kembali', 'VB'), ('memakan', 'VB'), ('korban', 'NN'), ('jiwa', 'NN'), ('2', 'CD'), ('tewas', 'VB'), ('akibat', 'NN'), ('tabrakan', 'VB')]",tol cipali  memakan korban jiwa 2 tewas akibat tabrakan,tol cipali makan korban jiwa 2 tewas akibat tabrak,tol cipali memakan korban jiwa 2 tewas akibat tabrakan,2
kunker ke babel kepala bpip yudian wahyudi ajak santri dan dosen jaga dan perkokoh pancasila,"['kunker', 'ke', 'babel', 'kepala', 'bpip', 'yudian', 'wahyudi', 'ajak', 'santri', 'dan', 'dosen', 'jaga', 'dan', 'perkokoh', 'pancasila']","[('kunker', 'NN'), ('ke', 'IN'), ('babel', 'NN'), ('kepala', 'NN'), ('bpip', 'NN'), ('yudian', 'NN'), ('wahyudi', 'NN'), ('ajak', 'NN'), ('santri', 'NN'), ('dan', 'CC'), ('dosen', 'CD'), ('jaga', 'NN'), ('dan', 'CC'), ('perkokoh', 'NN'), ('pancasila', 'SC')]",kunker  babel kepala bpip yudian wahyudi ajak santri  dosen jaga  perkokoh pancasila,kunker babel kepala bpip yudian wahyudi ajak santri dosen jaga kokoh pancasila,kunker babel kepala bpip yudian wahyudi ajak santri dosen jaga perkokoh pancasila,1
demi menambah daya juang 7 pemain persija sampai ganti nomor punggung,"['demi', 'menambah', 'daya', 'juang', '7', 'pemain', 'persija', 'sampai', 'ganti', 'nomor', 'punggung']","[('demi', 'SC'), ('menambah', 'VB'), ('daya', 'NN'), ('juang', 'NN'), ('7', 'CD'), ('pemain', 'NN'), ('persija', 'NN'), ('sampai', 'IN'), ('ganti', 'NN'), ('nomor', 'NN'), ('punggung', 'VB')]", menambah daya juang 7 pemain persija  ganti nomor punggung,tambah daya juang 7 main persija ganti nomor punggung,menambah daya juang 7 pemain persija ganti nomor punggung,1
